Sample Name,Substrate,Gas,Temperature,Type,Index,Average,Ra,RMS,Skew,Kurtosis
W6821-1C,XG,Vakuum,pre,Topography,3,2.286423701104188e-08,1.1855864533699544e-08,1.4025441000501048e-08,0.7255808731536689,-0.5038083777184976
W6821-1C,XG,Vakuum,pre,Topography,4,2.30001925638866e-08,1.1832420229650428e-08,1.3997134011218302e-08,0.7259843497448102,-0.5059768315605209
W6822-1C,XG,Vakuum,pre,Topography,1,1.0099564495912091e-08,3.808309877633238e-09,4.850339017185527e-09,1.2529547033433288,0.9811263827900323
W6822-1C,XG,Vakuum,pre,Topography,2,1.0262907056565298e-08,3.78923102178935e-09,4.842370221984206e-09,1.2204706523506181,0.9660386600590862
W6822-1C,XG,Vakuum,pre,Topography,3,6.367052625279541e-09,3.938556998777325e-09,5.170238443790685e-09,1.701215633417678,2.270519494177897
W6822-1C,XG,Vakuum,pre,Topography,4,6.680237891774511e-09,3.986834876183836e-09,5.221945806223158e-09,1.6829687515811251,2.222494366889702
W6823-1C,XG,Vakuum,pre,Topography,1,5.608613179721734e-09,2.7535169583329105e-09,4.103883758885363e-09,2.601541657820371,9.165306338287623
W6823-1C,XG,Vakuum,pre,Topography,2,5.6115515676212964e-09,2.5886547871568915e-09,3.901208436404393e-09,2.6950275781079536,10.344034864133066
W6823-1C,XG,Vakuum,pre,Topography,3,5.39543934623331e-09,2.2216787208025817e-09,3.736758691407468e-09,2.785171355779561,7.900837746030204
W6823-1C,XG,Vakuum,pre,Topography,4,5.5746974201176154e-09,2.206767005702701e-09,3.7206196783856596e-09,2.7929718617711305,7.965688921459401
W6824-1C,XG,Vakuum,pre,Topography,1,8.430090556873439e-09,4.463072416180557e-09,5.401754448925567e-09,0.9671821306299797,0.15741477330947928
W6824-1C,XG,Vakuum,pre,Topography,2,8.527670474473641e-09,4.46465110236918e-09,5.404542652792112e-09,0.9670566080036924,0.1668771928462207
W6824-1C,XG,Vakuum,pre,Topography,3,8.443888345078908e-09,3.736999099321747e-09,4.6635788429208404e-09,1.034251060281403,0.4795822883765619
W6824-1C,XG,Vakuum,pre,Topography,4,8.205853430700544e-09,3.743925829330826e-09,4.670281069862109e-09,1.0397557794404322,0.49701529781901144
W6821-1B,XG,Sauerstoff,600,Topography,1,6.327926258737602e-09,2.8828802011525533e-09,4.319048980776008e-09,2.6207937673607478,9.018210323599535
W6821-1B,XG,Sauerstoff,600,Topography,2,9.280163149547965e-09,2.8903951255936774e-09,4.329368622548332e-09,2.620205655599845,9.049234754665727
W6821-1B,XG,Sauerstoff,600,Topography,3,6.349939600510522e-09,2.784445916755055e-09,4.2179741587322076e-09,2.6771349930129933,9.540734665769305
