t,R
1175.85555199999,5492.91578
1178.159469,5493.01814
1180.452632,5493.08489
1182.74573999999,5492.99165
1185.039375,5493.00021
1187.35371399999,5493.0462
1189.673209,5493.13146
1191.95187199999,5493.19712
1194.26629099999,5493.16159
1196.559783,5493.26004
1198.863255,5493.29865
1201.15655599999,5493.11961
1203.460752,5493.10077
1205.769168,5493.08242
1208.058381,5493.09005
1210.362428,5493.04476
1212.65579499999,5493.0098
1214.94875399999,5493.05229
1217.23144199999,5493.13743
1219.51412199999,5493.14944
1221.78609599999,5493.13184
1224.09013999999,5493.05841
1226.404105,5493.04015
1228.687695,5493.0284
1231.00197899999,5493.12021
1233.295458,5493.25729
1235.59922499999,5493.3619
1237.903176,5493.39169
1240.207702,5493.37921
1242.509913,5493.3329
1244.815723,5493.3266
1247.119499,5493.34798
1249.423461,5493.31097
1251.727801,5493.27724
1254.05201199999,5493.18775
1256.33532099999,5493.15527
1258.639447,5493.14138
1260.953322,5493.14002
1263.247893,5493.24046
1265.55105199999,5493.31934
1267.855502,5493.4023
1270.18096399999,5493.45123
1272.47447499999,5493.2966
1276.772723,5493.31392
1279.0658,5493.37044
1281.359297,5493.432
1283.677428,5493.47612
1285.978266,5493.43455
1288.282485,5493.35143
1290.57521799999,5493.33732
1292.87972099999,5493.38578
1295.187906,5493.38385
1297.48758899999,5493.40591
1299.795925,5493.35423
1302.095848,5493.33273
1304.378557,5493.46216
1306.671841,5493.51873
1308.964474,5493.50851
1311.259527,5493.37794
1313.56193499999,5493.30164
1315.860539,5493.35574
1318.180856,5493.34811
1320.496261,5493.4734
1322.810124,5493.57296
1325.125329,5493.55674
1327.406907,5493.5354
1329.690329,5493.55963
1331.99735399999,5493.51198
1334.298157,5493.46141
1336.60216599999,5493.47518
1338.884994,5493.52285
1341.17811799999,5493.61615
1343.470904,5493.63786
1345.754036,5493.55885
1348.068403,5493.6006
1350.361984,5493.57456
1352.669727,5493.5767
1354.94868099999,5493.55512
1357.24245,5493.52546
1359.546102,5493.52237
1361.85001899999,5493.46535
1364.15947,5493.4996
1366.458171,5493.63116
1368.772388,5493.66632
1371.066249,5493.7708
1373.348481,5493.7847
1375.64214799999,5493.82574
1377.92492699999,5493.87778
1380.19635399999,5493.93445
1382.490429,5493.9736
1384.788239,5493.9137
1387.087423,5493.72625
1389.380439,5493.73188
1391.674665,5493.67926
1393.956761,5493.69554
1396.26057099999,5493.75994
1398.564995,5493.82524
1400.868183,5493.70851
1403.162443,5493.54873
1405.477027,5493.46886
1407.77064399999,5493.4956
1410.07450799999,5493.54775
1412.377766,5493.62682
1414.682204,5493.64887
1417.000558,5493.75849
1419.30074699999,5493.79047
1421.61568799999,5493.73557
1423.90868499999,5493.70876
1426.224031,5493.65827
1428.516831,5493.67708
1430.810366,5493.66429
1433.11883,5493.63317
1435.418373,5493.75425
1437.722386,5493.7887
1440.01459599999,5493.80803
1442.297805,5493.74701
1444.612785,5493.75592
1446.906632,5493.78165
1449.202086,5493.71347
1451.49775799999,5493.73238
1455.786025,5493.7247
1458.090443,5493.69754
1460.394075,5493.72628
1462.697782,5493.7504
1464.98097,5493.72187
1467.299292,5493.77563
1469.589595,5493.70931
1471.882253,5493.73967
1474.164399,5493.79394
1476.469084,5493.80288
1478.762103,5493.78299
1481.06640899999,5493.80791
1483.354017,5493.85302
1485.653086,5493.94826
1487.95697899999,5494.06264
1490.26054099999,5493.96402
1492.543764,5493.84943
1494.836503,5493.85301
1497.119495,5493.83741
1499.432511,5493.76518
1501.716801,5493.7988
1504.019996,5493.84368
1506.325281,5493.88363
1508.629319,5493.83525
1510.943271,5493.85591
1513.215917,5493.87849
1515.514693,5493.99214
1517.791719,5493.95519
1520.08468099999,5493.96562
1522.389338,5493.9465
1524.693172,5493.93323
1526.97513299999,5494.00146
1529.26893,5493.9056
1531.572908,5493.82479
1533.855818,5493.86336
1536.152635,5493.86247
1538.45252,5493.8862
1540.757228,5493.82852
1543.061527,5493.87732
1545.365098,5493.90639
1547.668901,5494.01028
1549.973062,5494.04915
1552.281025,5494.07353
1554.559888,5494.03569
1556.833724,5493.91146
1559.125178,5493.96185
1561.418804,5493.94677
1563.70100399999,5493.9271
1566.005022,5493.94396
1568.31377299999,5493.89901
1570.62329,5493.8996
1572.92822099999,5493.9013
1575.22148,5493.97563
1577.524922,5494.03468
1579.828906,5493.98205
1582.133448,5493.8907
1584.441641,5493.81907
1586.741068,5493.92237
1589.04572899999,5493.99421
1591.35986799999,5494.07298
1593.663728,5494.04574
1595.956937,5493.99863
1598.261476,5494.1058
1600.564323,5494.1952
1602.869178,5494.06232
1605.173282,5494.02087
1607.487794,5494.11945
1609.964182,5494.05755
1612.255448,5493.97559
1614.559345,5494.09589
1616.862757,5494.10642
1619.155922,5494.05039
1621.46158899999,5493.93014
1623.764612,5493.87071
1626.068915,5493.91379
1628.351491,5494.06788
1630.649422,5494.23133
1632.92784999999,5488.16076
1635.220731,5434.42583
1637.502884,5356.90744
1639.823712,5308.01201
1642.11165,5280.32035
1644.42592399999,5261.13831
1646.719367,5247.53164
1649.02359,5237.52789
1651.316815,5230.07495
1653.610079,5224.36244
1655.912837,5219.85644
1658.18630199999,5216.25118
1660.490092,5213.21061
1662.783498,5210.6383
1665.066428,5208.61919
1667.35936799999,5207.01337
1669.663206,5205.76291
1671.97702999999,5204.60971
1674.249809,5203.55747
1676.553748,5202.53588
1678.847586,5201.69336
1681.130303,5200.81042
1683.423771,5199.31825
1687.712143,5198.72681
1690.03497099999,5198.271
1692.32021399999,5197.90585
1694.634614,5197.58347
1696.916804,5197.33011
1699.21041599999,5196.92947
1701.503863,5196.55919
1703.807856,5196.33021
1706.117065,5196.06088
1708.394439,5195.79234
1710.685202,5195.56644
1712.992208,5195.39466
1715.305921,5195.29983
1717.599428,5195.16462
1719.90415499999,5195.07505
1722.217907,5194.92543
1724.500903,5194.68284
1726.804303,5194.51676
1729.087507,5194.31118
1731.39207,5194.10096
1733.674407,5193.9028
1735.96809299999,5193.80436
1738.281617,5193.77371
1740.576054,5193.6527
1742.879635,5193.69274
1745.18352,5193.4847
1747.487744,5193.39314
1749.807566,5193.40282
1752.106785,5193.28247
1754.414248,5193.14311
1756.71473999999,5193.11913
1759.018948,5193.01969
1761.311956,5192.95767
1763.594573,5192.93132
1765.888028,5192.80677
1768.192026,5192.68959
1770.500318,5192.70165
1772.789436,5192.71077
1775.082323,5192.6509
1777.376391,5192.69075
1779.68005,5192.62252
1781.962216,5192.45187
1784.255925,5192.33078
1786.565058,5192.14929
1788.863819,5192.12346
1791.146741,5192.11149
1793.429671,5192.12155
1795.723102,5192.10955
1798.015847,5192.10562
1800.298408,5192.13716
1802.591706,5192.15265
1804.895748,5192.11793
1807.198617,5192.05427
1809.482869,5192.01794
1811.775934,5191.96561
1814.058415,5191.7749
1816.36244599999,5191.74252
1818.666507,5191.77427
1820.94917699999,5191.75969
1823.258151,5191.574
1825.546487,5191.41177
1827.84512199999,5191.30887
1830.133642,5191.31801
1832.437237,5191.31912
1834.73013299999,5191.37027
1837.013388,5191.37001
1839.285005,5191.29737
1841.578293,5191.32071
1843.903456,5191.30913
1846.19701899999,5191.2153
1848.511962,5191.20363
1850.794219,5191.18351
1853.09886,5191.17445
1855.402415,5191.08656
1857.706566,5190.97536
1860.017673,5191.01147
1862.293345,5191.077
1864.58543099999,5191.01143
1866.890154,5190.93646
1869.183932,5190.8143
1871.46645999999,5190.75566
1873.759635,5190.73052
1876.042397,5190.84971
1878.32571399999,5190.85121
1880.61821399999,5190.55364
1884.906403,5190.39987
1887.221209,5190.39221
1889.514676,5190.34565
1893.81297099999,5190.3435
1896.106349,5190.31297
1898.410108,5190.28901
1900.714429,5190.38529
1903.01877999999,5190.37752
1905.321176,5190.35058
1907.615919,5190.28802
1909.899602,5190.23388
1912.202746,5190.25264
1914.496014,5190.34913
1916.77809999999,5190.30006
1919.082513,5190.25636
1921.401303,5190.21168
1923.69068,5190.1136
1925.994899,5190.06548
1928.30875399999,5190.14418
1930.59197899999,5190.09751
1932.9063,5190.09105
1935.189498,5189.95832
1937.492746,5189.91478
1939.786676,5189.6823
1942.08043799999,5189.69823
1944.37310699999,5189.80953
1946.655636,5189.85185
1948.949075,5189.84016
1951.253411,5189.82186
1953.54903399999,5189.81202
1955.82954499999,5189.57374
1958.144113,5189.50928
1960.43753399999,5189.60301
1962.75233199999,5189.8138
1965.03445299999,5189.77672
1967.317658,5189.80072
1969.608973,5189.74792
1971.893417,5189.61486
1974.20545299999,5189.53012
1976.48037,5189.54771
1978.78444599999,5189.41445
1981.07668099999,5189.25941
1983.370902,5189.23458
1985.65827,5189.24518
1987.957591,5189.27726
1990.280362,5189.38722
1992.56544199999,5189.40503
1994.869614,5189.46126
1997.173227,5189.40485
1999.47712199999,5189.3363
2001.801127,5189.26151
2004.093502,5189.24199
2006.400161,5189.37125
2008.693202,5189.26693
2010.976377,5189.24623
2013.269081,5189.17836
2015.5735,5189.10447
2017.85548199999,5189.02177
2020.128127,5189.03405
2022.42570699999,5188.9818
2024.72531699999,5188.9242
2027.037921,5188.91848
2029.333852,5188.9671
2031.63767699999,5188.93388
2033.920048,5188.86662
2036.21306299999,5188.93259
2038.51739399999,5189.03718
2040.82162,5189.12677
2043.108146,5189.08303
2045.408042,5189.03668
2047.70041,5189.0308
2049.98976499999,5188.97103
2052.282892,5188.98819
2054.564972,5189.02064
2056.869505,5188.98181
2059.17336,5188.92922
2061.477051,5188.94555
2063.78561,5188.96043
2066.085463,5188.84527
2068.389209,5188.80245
2070.69361099999,5188.73559
2072.997147,5188.59815
2075.301326,5188.61277
2077.605527,5188.67472
2079.918091,5188.72396
2082.21297899999,5188.7483
2084.528278,5188.75483
2086.821502,5188.7141
2089.125531,5188.75823
2091.40836499999,5188.81377
2093.691336,5188.76294
2095.993713,5188.72632
2098.277081,5188.78372
2100.57018799999,5188.67248
2102.84314399999,5188.57499
2105.136231,5188.55096
2107.41844899999,5188.54147
2109.722724,5188.53426
2112.01586,5188.50527
2114.298856,5188.36777
2116.643809,5188.16315
2118.928053,5188.107
2121.231735,5188.13066
2123.515048,5188.2308
2125.829476,5188.26064
2128.112103,5188.29531
2130.426807,5188.24785
2134.713216,5188.26684
2136.986673,5188.38617
2139.277731,5188.27242
2141.56288299999,5188.24407
2143.855885,5188.20309
2146.160048,5188.27071
2148.44276499999,5188.51203
2150.735546,5188.57034
2153.018912,5188.50345
2155.31189399999,5188.37888
2157.605048,5188.24461
2159.89780999999,5188.16062
2162.19213999999,5188.08996
2164.506737,5188.10366
2166.810543,5188.12838
2169.104311,5188.16612
2171.39709299999,5188.2558
2173.680301,5188.17142
2175.993212,5188.07111
2178.266855,5188.16994
2180.55987899999,5188.17084
2182.863988,5188.12874
2185.168466,5188.00483
2187.461315,5187.9725
2189.74419199999,5187.9678
2192.02658,5187.84656
2194.330994,5187.90704
2196.633632,5187.80579
2198.928287,5187.73606
2201.232117,5187.72445
2203.515095,5187.74255
2205.818895,5187.7266
2208.11202,5187.77115
2210.416286,5187.78706
2212.724858,5187.86741
