t,R1,R2
49763.289629,NaN,NaN
49809.305605,NaN,NaN
49855.367347,NaN,NaN
49885.357638,NaN,NaN
50034.504021,3568.45965,1653.22025
50069.605942,3567.32032,1652.88558
50108.259759,NaN,NaN
50145.841459,NaN,NaN
50209.89623,NaN,NaN
50279.54979,NaN,NaN
50325.731747,NaN,NaN
50362.099193,NaN,NaN
50402.709633,NaN,NaN
50435.828623,NaN,NaN
50459.561203,NaN,NaN
50492.997885,NaN,NaN
50540.471491,NaN,NaN
50577.738101,NaN,NaN
50697.432395,NaN,NaN
50727.966481,NaN,NaN
50751.674144,NaN,NaN
50787.696893,NaN,NaN
50816.093127,3545.3125,1645.4528
50853.651512,NaN,NaN
50951.909083,NaN,NaN
50990.143466,NaN,NaN
51014.087847,NaN,NaN
51039.590574,3538.75567,1643.38035
51082.953229,NaN,NaN
51113.562747,NaN,NaN
51183.086763,NaN,NaN
51218.162055,NaN,NaN
51239.152564,NaN,NaN
51257.88857,NaN,NaN
51299.450459,NaN,NaN
51331.091867,NaN,NaN
51374.402117,NaN,NaN
51441.845477,NaN,NaN
51473.494207,NaN,NaN
51504.991773,NaN,NaN
51544.696117,3524.21406,1638.72901
51570.484755,3523.39151,1638.56318
51615.461992,NaN,NaN
51716.990719,NaN,NaN
51756.758503,NaN,NaN
51788.482716,NaN,NaN
51815.78008,NaN,NaN
51859.291426,3515.17956,1635.99894
51898.020826,NaN,NaN
51992.323051,NaN,NaN
52010.325885,NaN,NaN
52035.165653,NaN,NaN
52052.604154,NaN,NaN
52086.654604,NaN,NaN
52112.780982,NaN,NaN
52165.033293,NaN,NaN
52194.846211,NaN,NaN
52235.354523,NaN,NaN
52272.453325,NaN,NaN
52308.045582,NaN,NaN
52374.672121,NaN,NaN
52403.875625,NaN,NaN
52424.679318,NaN,NaN
52445.239273,NaN,NaN
52472.509699,NaN,NaN
52530.443539,NaN,NaN
52644.5167,NaN,NaN
52666.745188,NaN,NaN
52694.391906,NaN,NaN
52735.705193,NaN,NaN
52774.769802,NaN,NaN
52825.866792,NaN,NaN
52858.954066,NaN,NaN
52884.973804,NaN,NaN
52916.573655,3485.5822,1627.51774
52957.728126,NaN,NaN
52986.173656,NaN,NaN
53050.260551,3481.67508,1626.6919
53082.211423,NaN,NaN
53105.559867,NaN,NaN
53126.417241,NaN,NaN
53152.389931,NaN,NaN
53182.601517,3478.35773,1625.72546
53197.275883,NaN,NaN
53217.803867,NaN,NaN
53246.887584,NaN,NaN
53266.47549,NaN,NaN
53287.992913,NaN,NaN
53354.867834,NaN,NaN
53382.786452,NaN,NaN
53517.335496,NaN,NaN
53670.904181,NaN,NaN
53716.839545,NaN,NaN
53755.172837,NaN,NaN
53796.098137,NaN,NaN
53928.737457,NaN,NaN
53968.678973,NaN,NaN
54007.210706,NaN,NaN
54040.072345,3455.12405,1619.56218
54072.655808,NaN,NaN
54160.701171,NaN,NaN
54196.128643,NaN,NaN
54220.432358,NaN,NaN
54256.333441,NaN,NaN
54291.887582,NaN,NaN
54318.53101,NaN,NaN
54354.483413,NaN,NaN
54379.382619,NaN,NaN
54415.797525,NaN,NaN
54450.658522,NaN,NaN
54505.109511,NaN,NaN
54582.396479,NaN,NaN
54614.624511,NaN,NaN
54641.313679,NaN,NaN
54679.388348,NaN,NaN
54704.365299,NaN,NaN
54732.149361,NaN,NaN
54788.527528,NaN,NaN
54816.427969,NaN,NaN
54840.427786,NaN,NaN
54858.656064,NaN,NaN
54893.626954,3432.54819,1614.27256
54920.165317,NaN,NaN
54944.577876,3431.38372,1613.9833
54973.475424,NaN,NaN
55028.383295,NaN,NaN
55174.175996,NaN,NaN
55198.744587,NaN,NaN
55228.079969,3424.07504,1612.34676
55249.850933,3423.41751,1612.25969
55284.629073,NaN,NaN
55325.326741,NaN,NaN
55405.164135,NaN,NaN
55438.995911,NaN,NaN
55468.056001,NaN,NaN
55491.463287,3417.16018,1610.95686
55526.776063,NaN,NaN
55554.153644,NaN,NaN
55660.741009,NaN,NaN
55706.392201,NaN,NaN
55740.410453,NaN,NaN
55790.523552,3409.67593,1609.37309
55835.431812,NaN,NaN
55932.511375,NaN,NaN
55968.073973,NaN,NaN
56006.250531,NaN,NaN
56062.229408,NaN,NaN
56084.337506,NaN,NaN
56113.814393,NaN,NaN
56154.594526,3400.59273,1607.63868
56180.149983,NaN,NaN
56211.906222,NaN,NaN
56309.501519,NaN,NaN
56333.829828,NaN,NaN
56360.321595,NaN,NaN
56400.13245,NaN,NaN
56427.495927,NaN,NaN
56480.626023,NaN,NaN
56509.062612,NaN,NaN
56657.82163,NaN,NaN
56713.706459,NaN,NaN
56749.032427,NaN,NaN
56778.190858,NaN,NaN
56831.549825,NaN,NaN
56874.762372,NaN,NaN
56974.726867,NaN,NaN
57018.307118,NaN,NaN
57044.64663,NaN,NaN
57077.691418,NaN,NaN
57111.267004,3376.91818,1603.55334
57173.443442,NaN,NaN
57223.652474,NaN,NaN
57251.113937,3373.54825,1603.04442
57275.202288,3372.59037,1602.91451
57305.812758,3372.30543,1602.8781
57329.15988,3371.6138,1602.77656
57359.983519,3370.86829,1602.67557
57398.303154,NaN,NaN
57508.962479,NaN,NaN
57570.287972,NaN,NaN
57604.820586,NaN,NaN
57635.714159,NaN,NaN
57678.926619,NaN,NaN
57725.71395,NaN,NaN
57821.039811,3359.85659,1601.05154
57855.061781,NaN,NaN
57874.66281,NaN,NaN
57896.828837,NaN,NaN
57938.396964,3357.12705,1600.72056
57961.914432,NaN,NaN
58024.814513,NaN,NaN
58060.319851,NaN,NaN
58083.263669,NaN,NaN
58108.102084,NaN,NaN
58143.64724,NaN,NaN
58168.976933,NaN,NaN
58220.467532,NaN,NaN
58255.078191,NaN,NaN
58373.739545,NaN,NaN
58466.172745,NaN,NaN
58494.214793,NaN,NaN
58525.800616,NaN,NaN
58574.922536,NaN,NaN
58632.516284,NaN,NaN
58673.690567,NaN,NaN
58695.268054,NaN,NaN
58724.054888,NaN,NaN
58746.760084,NaN,NaN
58783.804432,3337.27869,1598.56366
58819.070636,NaN,NaN
58859.943119,NaN,NaN
59004.862903,NaN,NaN
59037.870023,NaN,NaN
59063.591892,NaN,NaN
59102.035366,NaN,NaN
59137.360093,3329.05838,1597.77578
59162.262132,NaN,NaN
59183.643567,NaN,NaN
59209.810051,NaN,NaN
59243.663374,NaN,NaN
59283.550189,NaN,NaN
59313.663179,NaN,NaN
59342.103138,NaN,NaN
59480.444716,NaN,NaN
59520.074243,NaN,NaN
59547.402276,3319.83956,1597.51738
59580.092754,NaN,NaN
59614.103288,NaN,NaN
59647.315025,3317.5047,1597.39012
59699.151563,NaN,NaN
59848.397,NaN,NaN
59894.097724,NaN,NaN
59926.669316,NaN,NaN
59978.420933,NaN,NaN
60030.912562,NaN,NaN
60183.813202,NaN,NaN
60222.995322,NaN,NaN
60255.808335,NaN,NaN
60296.055138,NaN,NaN
60335.900511,NaN,NaN
60379.328146,NaN,NaN
60492.365411,NaN,NaN
60520.796334,NaN,NaN
60541.110515,NaN,NaN
60569.412951,3296.97217,1596.81151
